what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830247060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830280035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830294409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830295488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830295989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830300990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830301707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830335048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830336219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830743163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830748083
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1646830753042
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1646830759091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830759640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830764743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830780780
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1646830780820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830781131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830782492
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1646830786663
error,log,,,"No Byte Stream Services found for Nios II Console View",1646830790695
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1646830790875
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1646830790925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830798444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646830802036
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1646830802106
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1646830802116
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1646830802607
